 Rank  Chip       Q N80  Dataset      Day QPDTStr  QPDTS2   QCETS
x  104 11397   0.723  16  PDTStry 20171129   0.723   0.721        
x  105 10811   0.713  15    PDTS2 20170925   0.696   0.713        
x  107 10734   0.711  15  PDTStry 20170913   0.711   0.711        
x  108 11073   0.710  15    PDTS2 20171005   0.695   0.710        
x  109 11656   0.709  16    PDTS2 20171127   0.698   0.709        
x  110 10892   0.708  15  PDTStry 20170928   0.708                
x  111 10319   0.708  16  PDTStry 20170824   0.708   0.601        
x  112 11389   0.707  15  PDTStry 20171023   0.707   0.684        
x  113 10341   0.707  16    PDTS2 20170825   0.699   0.707        
x  114 11490   0.706  16    PDTS2 20171102   0.104   0.706        
x  115 10501   0.706  16  PDTStry 20170831   0.706   0.691        
x  116 10254   0.705  16    PDTS2 20170822   0.699   0.705        
x  117 10926   0.705  16    PDTS2 20170928   0.674   0.705        
x  118 11217   0.705  16    PDTS2 20171013   0.699   0.705        
x  119 11502   0.704  16  PDTStry 20171102   0.704   0.672        
x  120 11484   0.704  16    PDTS2 20171102   0.700   0.704        
x  121 10988   0.703  16    PDTS2 20171002           0.703        
x  122 11470   0.701  16  PDTStry 20171102   0.701   0.694        
x  123 10422   0.701  15  PDTStry 20170829   0.701                
x  124 11028   0.701  15  PDTStry 20171004   0.701   0.086        
x  125 11487   0.701  15  PDTStry 20171102   0.701   0.686        



remove
------
    6 11521   0.989  16    PDTS2 20171121   0.982   0.989        bent pin
   24 11696   0.964  16  PDTStry 20171130   0.964                bent pin
   56 11302   0.879  16    PDTS2 20171129   0.879   0.879        bad input pin
   68 11646   0.849  16  PDTStry 20171128   0.849   0.832        bad input pin
  106 10359   0.712  15    PDTS2 20170825   0.702   0.712        missing

